-0.500001045000759, -0.5236
-0.866026610445276, -1.0472
-0.999999999993448, -1.5708
-0.866022990447633, -2.0944
-0.499994671746651, -2.618
7.23998015298735E-06, -3.1416
0.500007418227788, -3.6652
0.866030230397523, -4.1888
0.999999999939729, -4.7124
0.866019251192791, -5.236
0.499988195226382, -5.7596
-1.44799603055952E-05, -6.2832
-0.50001368819041, -6.8068
-0.866033969510152, -7.3304
-0.999999999829659, -7.854
-0.866015750316165, -8.3776
-0.499981718678151, -8.9012
2.19583590364888E-05, -9.4248
0.50001975165301, -9.9484
0.866037708574348, -10.472
0.999999999675916, -10.9956
0.866011772537806, -11.5192
0.499975655061809, -12.0428
-2.89599206081544E-05, -12.5664
-0.500026640982841, -13.09
-0.866041209184682, -13.6136
-0.99999999944174, -14.1372
-0.86600827157049, -14.6608
-0.499969591420958, -15.1844
3.69151564941735E-05, -15.708
0.500032704393078, -16.2316
0.866044709752561, -16.7552
0.999999999221365, -17.2788
0.866004293689089, -17.8024
0.499962701829103, -18.326
0.500001045000759, 0.5236
0.866026610445276, 1.0472
0.999999999993448, 1.5708
0.866022990447633, 2.0944
0.499994671746651, 2.618
-7.23998015298735E-06, 3.1416
-0.500007418227788, 3.6652
-0.866030230397523, 4.1888
-0.999999999939729, 4.7124
-0.866019251192791, 5.236
-0.499988195226382, 5.7596
1.44799603055952E-05, 6.2832
0.50001368819041, 6.8068
0.866033969510152, 7.3304
0.999999999829659, 7.854
-0.500001045000759, -0.5236
-0.866026610445276, -1.0472
-0.999999999993448, -1.5708
-0.866022990447633, -2.0944
-0.499994671746651, -2.618
7.23998015298735E-06, -3.1416
0.500007418227788, -3.6652
0.866030230397523, -4.1888
0.999999999939729, -4.7124
-0.500001045000759, -0.5236
-0.866026610445276, -1.0472
-0.999999999993448, -1.5708
-0.866022990447633, -2.0944
-0.499994671746651, -2.618
7.23998015298735E-06, -3.1416
0.500007418227788, -3.6652
0.866030230397523, -4.1888
0.999999999939729, -4.7124
0.866019251192791, -5.236
0.499988195226382, -5.7596
-1.44799603055952E-05, -6.2832
-0.500001045000759, -0.5236
-0.866026610445276, -1.0472
-0.999999999993448, -1.5708
-0.866022990447633, -2.0944
-0.499994671746651, -2.618
-0.500001045000759, -0.5236
-0.866026610445276, -1.0472
-0.999999999993448, -1.5708
-0.866022990447633, -2.0944
-0.499994671746651, -2.618
7.23998015298735E-06, -3.1416
0.500007418227788, -3.6652
0.866030230397523, -4.1888
0.999999999939729, -4.7124
0.866030230397523, -4.1888
4.33, -2.5
2.5, -4.33
0, -5
-2.5, -4.33
